                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.43789,                0.32772,                0.98188,                0.49138,                 0.2902,                 0.9953,                0.97984,                0.97222,                0.99348,                0.92986,                0.36703,                0.22402,                0.76122,                0.36694,                0.17087,                0.76978,              0.0010892,              0.0010892,              0.0010892
                     26,                  0.428,                0.31775,                0.97818,                0.48085,                0.27483,                0.99022,                0.99394,                0.99537,                0.99491,                0.92708,                0.35732,                0.21147,                0.75841,                0.37002,                 0.1258,                0.77097,              0.0010496,              0.0010496,              0.0010496
                     27,                0.41411,                0.30647,                0.97827,                 0.4701,                0.26155,                0.99021,                0.98622,                0.99426,                0.99477,                0.92172,                0.35934,                0.22197,                0.75631,                0.37357,                0.14116,                0.76705,                0.00101,                0.00101,                0.00101
                     28,                0.39829,                0.30112,                0.96498,                0.45281,                0.25266,                 0.9775,                0.98863,                0.99074,                0.99467,                0.93022,                0.36571,                 0.2314,                0.76225,                 0.3638,                0.14372,                0.75859,              0.0009704,              0.0009704,              0.0009704
                     29,                0.41208,                0.31184,                0.96536,                0.46829,                0.27708,                0.97936,                0.97583,                0.99074,                0.99412,                0.92302,                0.37082,                0.22555,                0.75709,                 0.3771,                0.16036,                0.75717,              0.0009308,              0.0009308,              0.0009308
                     30,                0.40578,                0.29781,                0.97209,                0.45736,                0.25857,                0.98405,                0.95939,                0.97685,                0.99258,                0.93566,                0.34074,                0.21669,                0.72512,                0.35844,                0.18214,                 0.7447,              0.0008912,              0.0008912,              0.0008912
                     31,                0.38722,                0.29493,                0.96172,                0.43463,                0.25322,                0.97087,                0.99077,                0.99417,                0.99472,                0.93289,                0.33977,                0.21269,                0.73639,                0.34378,                0.12828,                0.75367,              0.0008516,              0.0008516,              0.0008516
                     32,                0.39933,                0.29284,                0.96611,                0.44921,                0.25246,                0.97744,                0.98614,                      1,                0.99486,                0.93545,                0.33841,                0.20607,                0.73363,                0.34083,                0.12463,                0.73576,               0.000812,               0.000812,               0.000812
                     33,                0.38183,                0.27921,                 0.9607,                0.43216,                0.23563,                0.97043,                0.98172,                0.99462,                0.99463,                0.92379,                0.35038,                0.20444,                0.74643,                0.36201,                 0.1432,                0.76402,              0.0007724,              0.0007724,              0.0007724
                     34,                0.38495,                0.28235,                0.96214,                0.42953,                0.24057,                0.97071,                0.99858,                0.99074,                  0.995,                0.93383,                0.33622,                0.20494,                0.72456,                0.33787,                0.11992,                0.72713,              0.0007328,              0.0007328,              0.0007328
                     35,                0.36804,                0.26919,                0.95293,                0.41142,                0.22439,                0.96222,                0.99536,                0.99381,                0.99491,                0.93192,                0.35545,                0.21009,                0.74579,                0.35908,                0.12509,                0.74971,              0.0006932,              0.0006932,              0.0006932
                     36,                0.38491,                0.27585,                0.96135,                0.42697,                0.22509,                0.97105,                0.96821,                      1,                0.99375,                0.93466,                0.33917,                 0.2029,                 0.7216,                0.32644,                0.15403,                0.71412,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.3763,                0.26949,                0.96103,                0.41765,                0.22301,                0.96926,                0.99943,                      1,                  0.995,                0.93752,                 0.3314,                0.20243,                 0.7222,                0.33604,                0.11639,                0.73021,               0.000614,               0.000614,               0.000614
                     38,                0.36934,                0.27376,                0.95193,                0.41103,                0.22787,                0.96043,                0.99539,                0.99983,                0.99495,                0.93866,                0.32536,                 0.1897,                0.71944,                0.32647,                0.11098,                0.72238,              0.0005744,              0.0005744,              0.0005744
                     39,                0.36022,                0.26779,                0.95024,                0.39663,                0.22436,                0.95852,                0.99533,                0.98613,                0.99472,                0.93068,                0.33522,                 0.1957,                0.72761,                0.33737,                0.12713,                0.72893,              0.0005348,              0.0005348,              0.0005348
                     40,                 0.3637,                0.26876,                0.95593,                0.40542,                0.22868,                0.96412,                0.98865,                      1,                0.99491,                0.93264,                0.32685,                0.19427,                0.72248,                0.33977,                0.12189,                0.73332,              0.0004952,              0.0004952,              0.0004952
                     41,                0.33482,                 0.2103,                0.95622,                0.34932,                0.14673,                0.96354,                0.99539,                0.99943,                  0.995,                0.93998,                 0.3205,                0.19474,                0.71025,                0.33052,                0.11398,                0.71389,              0.0004556,              0.0004556,              0.0004556
                     42,                0.32624,                0.19989,                0.95316,                0.34561,                 0.1343,                0.96334,                0.98944,                      1,                0.99491,                0.93704,                0.31836,                0.19693,                0.71361,                0.31768,                0.11692,                0.71676,               0.000416,               0.000416,               0.000416
                     43,                0.31775,                0.19806,                 0.9462,                 0.3327,                0.13531,                0.95635,                0.99936,                0.99074,                  0.995,                0.94305,                0.31406,                0.18996,                0.70962,                0.32768,                0.11291,                0.72253,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.3083,                0.19284,                0.94279,                 0.3247,                0.13123,                0.95173,                0.99821,                0.99074,                  0.995,                0.94253,                0.31626,                0.19502,                0.71219,                0.31979,                0.11433,                0.71744,              0.0003368,              0.0003368,              0.0003368
                     45,                0.29771,                0.18129,                0.93592,                0.31118,                0.11512,                0.94174,                0.97726,                0.99476,                0.99235,                0.94336,                0.30779,                0.19514,                0.70538,                0.32229,                0.13513,                0.72039,              0.0002972,              0.0002972,              0.0002972
                     46,                0.29949,                0.18014,                0.93487,                0.30818,                0.11536,                0.94089,                0.99536,                0.99418,                0.99495,                0.94188,                0.31459,                0.18576,                0.71536,                0.32289,                0.11516,                0.71733,              0.0002576,              0.0002576,              0.0002576
                     47,                0.29623,                0.17869,                0.92934,                0.30728,                0.11784,                0.93479,                      1,                0.99039,                  0.995,                0.94791,                0.31316,                 0.1846,                0.71738,                0.31617,                0.11035,                0.71864,               0.000218,               0.000218,               0.000218
                     48,                0.28606,                0.17305,                0.92564,                0.29602,                 0.1136,                0.93148,                0.99539,                0.99989,                  0.995,                0.94597,                0.31045,                0.17546,                0.70928,                0.31613,                 0.1036,                0.71243,              0.0001784,              0.0001784,              0.0001784
                     49,                0.28639,                0.17196,                0.92519,                0.29515,                0.11199,                0.93009,                      1,                0.99478,                  0.995,                0.94784,                0.29612,                0.16994,                0.70587,                0.29894,                 0.1077,                0.70782,              0.0001388,              0.0001388,              0.0001388
                     50,                0.28061,                0.16801,                0.92291,                0.28892,                0.10938,                0.92655,                      1,                 0.9906,                  0.995,                0.94466,                0.30402,                0.17419,                0.70919,                0.30592,                0.10553,                0.71263,               9.92e-05,               9.92e-05,               9.92e-05
